metric,value
token_precision,0.12777242118788268
token_recall,0.17691757929739033
token_f1,0.13659699755175703
flesch_reading_ease,44.77167078078262
flesch_kincaid_grade,17.410743335495578
entity_preservation,0.037037037037037035
number_preservation,
sari,21.0347695388638
bert_precision,0.7947590351104736
bert_recall,0.8218768239021301
bert_f1,0.807512640953064
bleu,0.00295764735419219
rouge_l,0.1292614682606305
training_loss,8.667893140792847
validation_loss,10.316589698791503
best_validation_simplification_loss,6.598326930999756
test_loss,11.655089855194092
test_simplification_loss,7.25069123506546
test_reconstruction_loss,4.404398630062739
trainable_parameters,18614676
training_duration_seconds,150.21134054200957
inference_duration_seconds,45.180646833003266
examples_per_second,4.227473783320861
