experiment,architecture,reconstruction_weight,activation,position_encoding,heads,head_dim,parameters,validation_loss,test_loss,sari,bert_precision,bert_recall,bert_f1,rouge_l,bleu,flesch_reading_ease,flesch_kincaid_grade,entity_preservation,number_preservation,token_precision,token_recall,token_f1,training_duration_seconds
E0_historical_baseline,historical_original,0.0,relu,learned,4,32,5476995,6.944425868988037,7.516144136587779,20.673956253860073,0.8291907906532288,0.8190926909446716,0.8238633275032043,0.1533726725549262,0.002467126820450048,,3.908963983181724,,,0.2614165212332752,0.1394035159985147,0.1758675354690217,43.74008893966675
E1_corrected_baseline,corrected,0.0,relu,learned,8,32,11402698,6.911010513305664,7.549663444360097,20.74263907801589,0.8404669761657715,0.8233341574668884,0.8315867185592651,0.1517534826607519,0.003156993845879119,86.30005991265836,4.281376973800368,0.031746031746031744,,0.22644985057299075,0.13927541694904716,0.16591151514238991,75.02100012500887
E2_dual_decoder_lambda_025,dual_decoder,0.25,relu,learned,8,32,18811284,8.649530906677246,9.42775801817576,20.930453145172674,0.8013702630996704,0.8226215243339539,0.8113946318626404,0.1403050563214809,0.0020879942614424763,64.92649633716636,10.420585419237714,0.042328042328042326,,0.15705046466930336,0.1631489932659042,0.1508128413936965,127.08637775000534
E3_dual_decoder_lambda_050,dual_decoder,0.5,relu,learned,8,32,18811284,10.318144187927246,11.239818572998047,20.930202840065547,0.8025004863739014,0.8229511380195618,0.8121546506881714,0.1394127835213568,0.002244581447232708,66.38390701427207,9.76337222106084,0.037037037037037035,,0.1572884485083048,0.16084551702449099,0.15045359881988632,125.73996908299159
E4_dual_decoder_lambda_100,dual_decoder,1.0,relu,learned,8,32,18811284,13.518115043640137,14.799464305241903,20.968121448952743,0.8083937168121338,0.8234222531318665,0.815385639667511,0.14164346199283814,0.0026967814289720116,67.81045223788408,9.13907886489281,0.037037037037037035,,0.16155406890214505,0.159549430257471,0.1515134981753861,127.59875562498928
E5_dual_decoder_swiglu,dual_decoder,1.0,swiglu,learned,8,32,19600788,13.442667541503907,14.714385906855265,20.76681135895737,0.8233764171600342,0.824906587600708,0.8238261938095093,0.15025710179184515,0.002782507809643881,68.08502120186407,8.41923113482844,0.037037037037037035,,0.18354777811133052,0.1571677164270818,0.16103936959433673,138.98830333299702
E6_dual_decoder_rope,dual_decoder,1.0,relu,rope,8,32,18614676,10.316589698791503,11.655089855194092,21.0347695388638,0.7947590351104736,0.8218768239021301,0.807512640953064,0.1292614682606305,0.00295764735419219,44.77167078078262,17.410743335495578,0.037037037037037035,,0.12777242118788268,0.17691757929739033,0.13659699755175703,150.21134054200957
E7_dual_decoder_heads_4,dual_decoder,1.0,relu,learned,4,64,18903444,12.316049499511719,13.743568062782288,20.94676133938084,0.8283054828643799,0.8252918124198914,0.8263921141624451,0.14537632299074704,0.003524420139150029,72.21905536384871,7.862776819833267,0.031746031746031744,,0.18449006247726588,0.1488523296660668,0.1545813463278438,125.60771329200361
E8_dual_decoder_heads_16,dual_decoder,1.0,relu,learned,16,16,18788244,13.714918823242188,14.863710602124533,20.725839355022387,0.8359832763671875,0.8243469595909119,0.8298555016517639,0.15415285179364094,0.005663838266001697,80.33669097520728,5.641218971945459,0.042328042328042326,,0.20412658188119095,0.15150213954442018,0.1667914144123044,138.75957662498695
E9_final_combined,dual_decoder,1.0,relu,learned,16,16,18788244,13.714918823242188,14.863710602124533,20.725839355022387,0.8359832763671875,0.8243469595909119,0.8298555016517639,0.15415285179364094,0.005663838266001697,80.33669097520728,5.641218971945459,0.042328042328042326,,0.20412658188119095,0.15150213954442018,0.1667914144123044,134.34377816700726
